词,频次,主题,例句
只是,12,其他,求求各位，不要再押题春晚小品了……: 还没有啊，要离的突然没有矛盾了，只是把包饺子换了个形式罢了
太正,12,吐槽与负面情绪,2024春晚小品押题《三胎》: 味儿太正了
表演,12,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宁的表演一直很。。。特别是欢乐喜剧人的东西看到就想。。。。
无,12,其他,2024春晚小品押题《三胎》: 说得好，无论男女都不是为了给社会提供劳动力结婚生子的
留着,12,情感与互动,有烂梗的春晚才叫过年呐: 留着过年看
表示,12,情感与互动,我想看这样的春晚: 新疆ip表示苹果香原唱真的很有味道，很好听
舒服,12,情感与互动,二进制小品: 舒服了
真想,12,情感与互动,我想看这样的春晚: 完了这个对唱是真想看
恐怖,12,吐槽与负面情绪,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 恐怖
剧情,12,春晚内容相关,无偿送给今年的春晚导演组: 这炸裂的剧情
搞,12,其他,无偿送给今年的春晚导演组: 笑死我了，这段太搞了
吃饺子,12,春晚内容相关,二进制小品: 边吃饺子边看的（）
一句,12,春晚内容相关,你觉得今年春晚最有可能出现哪些梗？: 就冲这一句，你赞有了 (印真
场,12,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 笑场不断
建议,12,情感与互动,求求各位，不要再押题春晚小品了……: 建议改为:《沈阳大街的尴尬50秒》
别说,12,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 话别说死
从,12,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 他演的的东西从没有任何亮点 夸张生硬 表情做作 
其他,12,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 只能算及格，其他几个1-2分之间
声音,12,春晚内容相关,你觉得今年春晚最有可能出现哪些梗？: 我特么听这闹钟声音都应激了
公式,12,其他,有烂梗的春晚才叫过年呐: 公式做题
2017,12,年度与时间,papi酱的春晚预测: 哈哈哈哈哈哈哈梦回2017
坤,12,其他,2024春晚小品押题《三胎》: 没有我坤哥不是很认可（doge）
常看,12,春晚内容相关,papi酱的春晚预测: 常看常新（来自2023）
常新,12,春晚主题,papi酱的春晚预测: 常看常新
你好,12,情感与互动,《2025年蛇年春晚烂梗小品精选》: 你好，你好，你好你好闭嘴（）
本来,12,其他,求求各位，不要再押题春晚小品了……: 本来就拉，还推卸责任给博主，笑死
出装,12,其他,《2025年蛇年春晚烂梗小品精选》: 固定出装
绝对,12,其他,无偿送给今年的春晚导演组: 你绝对说对了，哈哈哈…（锤桌！）
玩意,12,其他,无偿送给今年的春晚导演组: 刚怀孕就生了，啥玩意啊
谢帝,12,明星与节目,《2025年蛇年春晚烂梗小品精选》: 逆天谢帝
向,12,其他,2025春晚小品预测，这届网友太有才了: 辛辛向熔的辛时代
虾,12,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 虾！虾！虾！虾！
反押题,12,吐槽与负面情绪,求求各位，不要再押题春晚小品了……: 反押题
大伟,11,其他,2024春晚小品押题《三胎》: 60年后你和大伟90了
三十,11,年度与时间,2024春晚小品押题《三胎》: 鬼故事，三十三个娃
催,11,情感与互动,2025春晚小品预测，这届网友太有才了: 生活好累，没看到美好，这美好了还要你催生
太逆天,11,吐槽与负面情绪,2024春晚小品押题《三胎》: ←前面三棱锥的太逆天了
掌声,11,情感与互动,无偿送给今年的春晚导演组: 听懂掌声
穿越,11,春晚内容相关,papi酱的春晚预测: WC她是穿越者吗？
bgm,11,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: bgm太对味了
浓,11,春晚内容相关,无偿送给今年的春晚导演组: 味儿太浓了
该,11,其他,无偿送给今年的春晚导演组: 应该是“好~~啦！！！”
唯一,11,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这个节目唯一的看点是佳宁
的话,11,其他,我想看这样的春晚: 小品的话把喜剧大赛的导演和演员给请夹
写,11,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 吵架作文写的没有琼瑶好
是不是,11,情感与互动,2025春晚小品预测，这届网友太有才了: 大家一起生孩子？是不是限制级的啊？限制级的我就看
byd,11,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: byd大年三十旅游是吧
还要,11,情感与互动,2025春晚小品预测，这届网友太有才了: 现在干什么，人都特别多，还要生
要素,11,春晚内容相关,无偿送给今年的春晚导演组: 要素全面
提前,11,年度与时间,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 提前把春晚看完了
为啥,11,吐槽与负面情绪,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 为啥老让影视演员演小品啊 喜剧的节奏一般演员来不了。。
甚至,11,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我甚至都不知道有这个小品
现场,11,春晚内容相关,无偿送给今年的春晚导演组: 现场生！
压中,11,春晚内容相关,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 压中了，6
拿,11,其他,2024春晚小品押题《三胎》: 这尬味儿拿捏太到位了！！
收藏,11,其他,你觉得今年春晚最有可能出现哪些梗？: 加入春晚收藏夹
狗,11,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: hhh狗吐莲花哈哈哈哈哈
再见,11,情感与互动,无偿送给今年的春晚导演组: 再见照相馆h
所有,11,其他,我想看这样的春晚: 不是所有人都磕CP的。。。
冲,11,春晚内容相关,2024春晚小品押题《三胎》: 好家伙 味太冲了
个人,11,其他,无偿送给今年的春晚导演组: 这特么 这两个人年收入两百个起步了
全程,11,春晚内容相关,求求各位，不要再押题春晚小品了……: 没有中途误会，是全程误会
大过年,11,年度与时间,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 为什么大过年的还非要吵架？
当,11,其他,我想看这样的春晚: 三小只来春晚，我就当是12周年办了哈
还好,11,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我的妈呀还好没看
当时,11,年度与时间,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 看到这当时就来了句带尼码
一家,11,春晚内容相关,无偿送给今年的春晚导演组: 才一家三口，有没有一点政治觉悟，起码一家5口
声,11,春晚内容相关,【旧曲新歌奥密克戎】2022春晚押题相声: 这段是郭冬临原声吧？
京东,11,其他,【旧曲新歌奥密克戎】2022春晚押题相声: 京东大鼓
哥们,11,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这个哥们长得挺好看的
妙蛙,11,其他,二进制小品: 妙蛙饺子
原版,11,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 《原版就是办理离婚证》
怀,10,情感与互动,2024春晚小品押题《三胎》: 结尾一定是真怀上了
包袱,10,春晚内容相关,求求各位，不要再押题春晚小品了……: 开创无包袱的是阳台
大年三十,10,年度与时间,无偿送给今年的春晚导演组: 今年要是有这段，大年三十我请假回家看春晚
好家伙,10,情感与互动,无偿送给今年的春晚导演组: 好家伙，什么玩意？
小曲,10,春晚内容相关,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 症能量の小曲
张小斐,10,明星与节目,2024春晚小品押题《三胎》: 这不张小斐的风格么
这段,10,春晚内容相关,你觉得今年春晚最有可能出现哪些梗？: 建议这段换成唱跳rap
难道,10,情感与互动,求求各位，不要再押题春晚小品了……: 难道提包饺子就搞笑了吗
实在,10,情感与互动,无偿送给今年的春晚导演组: 实在没活可以咬打火机  怕崩嘴可以咬没气的
加,10,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 我猜是加在一块68哈哈哈哈哈哈
不想,10,情感与互动,我想看这样的春晚: 别恶心人呀，不想春晚看见那对夫妻
味太对,10,吐槽与负面情绪,2025年春晚押题小品之《再见老登》: 这“city不city”味太对了，春晚可找不出发音这么洋气的演员
那味,10,吐槽与负面情绪,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 有那味儿了
吓,10,吐槽与负面情绪,2024春晚小品押题《三胎》: 吓死我了
台词,10,春晚内容相关,你觉得今年春晚最有可能出现哪些梗？: 后面不搞笑了。台词没有那么有意思
您,10,情感与互动,【旧曲新歌奥密克戎】2022春晚押题相声: 您这手可是四儿
干,10,其他,《2025年蛇年春晚烂梗小品精选》: 白手套？我已经想到要干什么了
炸裂,10,吐槽与负面情绪,求求各位，不要再押题春晚小品了……: 炸裂（物理）
感动,10,情感与互动,无偿送给今年的春晚导演组: 他们依旧那么喜欢感动自己
妈呀,10,情感与互动,我想看这样的春晚: 妈呀没有周深差评不看了
50,10,年度与时间,无偿送给今年的春晚导演组: 刚刚结婚家里老人也才50多，65退休，老人也要上班
钱,10,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 的物打钱
神,10,春晚内容相关,我想看这样的春晚: 80咋了，80岁姜子牙刚准备去封神
马,10,春晚内容相关,2024春晚小品押题《三胎》: 这不是沈腾和马丽那个“譬如我就是那个譬如呢”
问,10,情感与互动,2025春晚小品预测，这届网友太有才了: 有什么问题吗
味道,10,春晚内容相关,我想看这样的春晚: 新疆ip表示苹果香原唱真的很有味道，很好听
跳,10,春晚内容相关,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 后面还要跳科目三是吧
改,10,春晚内容相关,求求各位，不要再押题春晚小品了……: 怎么，改包混沌了啊？
王宝强,10,明星与节目,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宝强是真不行
期待,10,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 《倍感期待》
夫妻,10,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 唐氏夫妻
段子,10,春晚内容相关,求求各位，不要再押题春晚小品了……: 不是他抄段子，可以抄别的博主的呀，跟别的博主说一声，就拿来用了呀
13,10,年度与时间,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 2401311930
火,10,春晚内容相关,我想看这样的春晚: 虞书欣丁禹兮你们是真的火了
圈,10,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 哈 圈 春 晚
求,10,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 别搞，求你，千万别搞哈基米这东西
价值,10,春晚内容相关,有烂梗的春晚才叫过年呐: 上价值
赶紧,10,情感与互动,papi酱的春晚预测: 天呐好尴尬我赶紧选个地洞钻进去
汤圆,10,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我们过年吃汤圆
里面,10,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宝强算是这几个里面相对来说不错的了
这女,10,明星与节目,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这女的是谁，感觉好漂亮呀
题,10,春晚内容相关,《2025年蛇年春晚烂梗小品精选》: 开始押题
city,10,其他,2025年春晚押题小品之《再见老登》: city突然流畅哈哈哈哈哈哈
预言家,10,其他,无偿送给今年的春晚导演组: 预言家给刀了
年来,10,年度与时间,papi酱的春晚预测: 25年来打卡
复习,10,其他,papi酱的春晚预测: 2023的回来复习
